Daily Patient Record Access Report
Date,2026-07-06
Generated At,2026-07-06T08:44:47.458771

Summary Statistics
Total Patient Record Accesses,0
Total Active Users,0
Total Alerts,0
Critical Alerts,0
High Alerts,0
Medium Alerts,0
Normal Events,0

Staff ID,Username,Role,Department,Device,Records Accessed,Record IDs,Categories,Sensitivity Levels,Risk Levels,Alerts Generated,Admin Review Status

USB Monitoring Summary
Total USB Events,0
Unknown USB Insertions,0
Whitelisted USB Insertions,0
USB Critical Alerts,0

USB Users Involved (no patient details)
Username,Staff ID,PC/Device,USB Serial(s),Event Count
